size
"2",,"","","","","arm-none-eabi-gcc (GCC) 5.3.0"
"","-Os -std=gnu89 -mthumb -mcpu=arm966e-s -mno-thumb-interwork"
linux-2.4.23-pre3-testplatform,mm/mlock,936
linux-2.4.23-pre3-testplatform,mm/filemap,9065
linux-2.4.23-pre3-testplatform,mm/page_io,459
linux-2.4.23-pre3-testplatform,mm/page_alloc,3023
linux-2.4.23-pre3-testplatform,mm/slab,2766
linux-2.4.23-pre3-testplatform,mm/swap_state,827
linux-2.4.23-pre3-testplatform,mm/oom_kill,487
linux-2.4.23-pre3-testplatform,mm/vmscan,1822
linux-2.4.23-pre3-testplatform,mm/mremap,1518
linux-2.4.23-pre3-testplatform,lib/string,480
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inffast,778
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inflate_syms,0
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inftrees,6153
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inflate,1722
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/infutil,258
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/infblock,1930
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/infcodes,1338
linux-2.4.23-pre3-testplatform,lib/vsprintf,2533
linux-2.4.23-pre3-testplatform,lib/bust_spinlocks,50
linux-2.4.23-pre3-testplatform,lib/errno,0
linux-2.4.23-pre3-testplatform,lib/brlock,0
linux-2.4.23-pre3-testplatform,lib/zlib_deflate/deflate_syms,0
linux-2.4.23-pre3-testplatform,lib/zlib_deflate/deflate,3772
linux-2.4.23-pre3-testplatform,lib/zlib_deflate/deftree,6216
linux-2.4.23-pre3-testplatform,lib/dec_and_lock,0
linux-2.4.23-pre3-testplatform,lib/cmdline,170
linux-2.4.23-pre3-testplatform,lib/ctype,256
linux-2.4.23-pre3-testplatform,lib/dump_stack,70
linux-2.4.23-pre3-testplatform,lib/rbtree,646
linux-2.4.23-pre3-testplatform,lib/rwsem-spinlock,354
linux-2.4.23-pre3-testplatform,net/core/sock,2813
linux-2.4.23-pre3-testplatform,net/core/scm,674
linux-2.4.23-pre3-testplatform,net/core/iovec,664
